factor,mean_abs_shap,n_non_null,low_q10,center_q50,high_q90,preferred_s060
s060,0.80331486,1560,-4.4326300000000005,0.9472499999999999,15.870080000000014,True
s022,0.43460986,1565,-6413.4,-5523.25,-5196.15,False
s461,0.39343375,1566,15.48685,26.16785,46.29105,False
s520,0.36284795,852,3.38726,5.83295,30.052599999999988,False
s001,0.35452133,1561,2928.16,3011.49,3094.77,False
s034,0.3512472,1566,8.3436,8.7698,9.396,False
s470,0.34711868,1561,4.3215,5.4724,6.7035,False
s432,0.3103573,1565,7.0975,16.381,27.50222000000001,False
s476,0.29111472,1561,2.8393,4.2762,5.1055,False
s080,0.24249016,1543,-0.02208,0.0006,0.03163999999999999,False
s349,0.22026779,1543,0.0151,0.0226,0.0362,False
s066,0.22012623,1560,20.385080000000002,26.26145,34.02371000000001,False
s130,0.21404397,1558,-2.647,-0.1419,0.6623,False
s201,0.20997845,1560,11.447,17.235,22.924000000000007,False
s126,0.19816592,1558,0.9176,1.144,1.541,False
s472,0.17726733,1561,4.7407,7.396,17.1332,False
s558,0.1752989,1307,0.89552,1.5298,2.22308,False
s023,0.16986515,1565,2497.6,2664.0,3053.15,False
s301,0.16716215,1565,0.041139999999999996,0.0828,0.14776,False
s438,0.1546287,1565,2.55636,3.7809,5.7088600000000005,False
s299,0.1389436,1565,0.03004,0.0528,0.08786000000000002,False
s437,0.13659419,1565,1.3392600000000001,2.7643,4.87018,False
s302,0.13187398,1565,0.6018,0.8604,1.27078,False
s065,0.13022394,1560,15.087380000000001,20.021349999999998,26.194110000000006,False
s511,0.11815454,1565,27.07148,46.9861,88.11050000000004,False
s027,0.112826936,1565,1.881,1.9865,2.0157,False
s128,0.112402864,1558,0.4949,0.6539,0.8266,False
s211,0.08067125,1543,0.0544,0.0797,0.12869999999999998,False
s338,0.079594314,1560,1.2405,2.05445,3.645900000000001,False
s317,0.07733056,1566,4.83915,5.8315,7.41005,False
s079,0.0723833,1543,-0.0726,-0.0125,0.055779999999999996,False
s029,0.07232047,1565,65.29334,69.1556,74.3,False
s295,0.07227027,1565,129.33972,278.6719,678.81304,False
s104,0.0640121,1565,-0.0132,-0.0101,-0.0056,False
s296,0.028065722,1565,83.45206,195.8256,341.6061400000002,False
s388,0.0,1567,0.0,0.0,0.0,False
