run_id,run_order,s060,s022,s461,s060_coded,s022_coded,s461_coded,p_cal_mean,p_cal_std,n_background
doe_010,1,0.94725,-5523.25,26.16785,0.0,0.0,0.0,0.046565015361050614,0.07227722315012634,1309
doe_011,2,0.94725,-5523.25,26.16785,0.0,0.0,0.0,0.046565015361050614,0.07227722315012634,1309
doe_005,3,-4.4326300000000005,-6413.4,46.29105,-1.0,-1.0,1.0,0.03163482280215656,0.03568901332121835,1309
doe_003,4,-4.4326300000000005,-5196.15,15.48685,-1.0,1.0,-1.0,0.03231029177876302,0.040278307110736426,1309
doe_007,5,-4.4326300000000005,-5196.15,46.29105,-1.0,1.0,1.0,0.04052269073706354,0.05728150234207077,1309
doe_004,6,15.870080000000014,-5196.15,15.48685,1.0,1.0,-1.0,0.057277410773804785,0.08350939278110457,1309
doe_002,7,15.870080000000014,-6413.4,15.48685,1.0,-1.0,-1.0,0.041979080211961874,0.061145647989509055,1309
doe_008,8,15.870080000000014,-5196.15,46.29105,1.0,1.0,1.0,0.07834977402202799,0.09938139286860427,1309
doe_001,9,-4.4326300000000005,-6413.4,15.48685,-1.0,-1.0,-1.0,0.027065309122905123,0.02107809586012783,1309
doe_006,10,15.870080000000014,-6413.4,46.29105,1.0,-1.0,1.0,0.05447575425587782,0.08308568596019254,1309
doe_009,11,0.94725,-5523.25,26.16785,0.0,0.0,0.0,0.046565015361050614,0.07227722315012634,1309
