run_id,design_row,is_center,replicate,s060_coded,s060,s022_coded,s022,s461_coded,s461,is_replicate,run_order
doe_010,10,True,1,0.0,1.1741,0.0,-5525.25,0.0,26.1518,False,1
doe_011,11,True,1,0.0,1.1741,0.0,-5525.25,0.0,26.1518,False,2
doe_005,5,False,1,-1.0,-4.150180000000001,-1.0,-6416.313489484811,1.0,46.1914,False,3
doe_003,3,False,1,-1.0,-4.150180000000001,1.0,-5194.993215089388,-1.0,15.2752,False,4
doe_007,7,False,1,-1.0,-4.150180000000001,1.0,-5194.993215089388,1.0,46.1914,False,5
doe_004,4,False,1,1.0,18.879069730689327,1.0,-5194.993215089388,-1.0,15.2752,False,6
doe_002,2,False,1,1.0,18.879069730689327,-1.0,-6416.313489484811,-1.0,15.2752,False,7
doe_008,8,False,1,1.0,18.879069730689327,1.0,-5194.993215089388,1.0,46.1914,False,8
doe_001,1,False,1,-1.0,-4.150180000000001,-1.0,-6416.313489484811,-1.0,15.2752,False,9
doe_006,6,False,1,1.0,18.879069730689327,-1.0,-6416.313489484811,1.0,46.1914,False,10
doe_009,9,True,1,0.0,1.1741,0.0,-5525.25,0.0,26.1518,False,11
