,mean,median,std,skew,kurtosis,min,max,pct_zeros,n_unique,dom_frac,cv,missing_rate,n_deviant,dev_fail_rate,enrichment,verdict,f_skewed,f_heavy_tail,f_outlier_dom,f_zero_infl,f_missing,f_concentrated,transform_candidate,f_skew_outlier_driven,mean_pass,mean_fail,std_pass,std_fail,var_ratio,hedges_g,mw_p,mw_q,abs_g,tail_enrichment,f_var_shift,var_ratio_clip,iqr_ratio,log2_vr,log2_vr_clip,f_var_shift_strict,f_vr_inflated,mi,mi_norm,mi_rank,g_rank,f_nonlinear
0,3014.453,3011.49,73.622,0.514,1.471,2743.24,3356.35,0.0,1520,0.0012812299807815502,0.02442293487368341,0.0038289725590299937,1559,0.06670942912123155,1.005131494547787,keep,False,False,False,False,False,False,,False,3014.947316403569,3007.52625,72.4618090297368,88.40968772628496,1.4886114972977869,-0.10075092528083782,0.031805265262002475,0.18696748230921822,0.10075092528083782,,False,1.5356109576728576,1.2142776203965988,0.5739672837689914,0.6188127599861485,False,False,0.004125851874349662,0.01696714867063756,96.0,128.0,False
1,2495.85,2499.405,80.408,-0.043,2.241,2158.75,2846.44,0.0,1504,0.0019230769230769232,0.032216558504806286,0.004467134652201659,1557,0.06551059730250482,0.9870683266637025,keep,False,True,False,False,False,False,,False,2495.906115305422,2495.059708737865,81.03347634871051,71.31636156160046,0.7745499228222806,-0.010518029013262448,0.9512724698170486,0.9857944546087964,0.010518029013262448,,False,0.8457965019146368,0.8501317145802361,-0.3685698654438755,-0.24161750127501297,False,False,0.0,0.0,214.0,245.0,False
2,2200.547,2201.067,29.513,-0.306,2.305,2060.66,2315.2667,0.0,507,0.0077269800386349004,0.013411732535795402,0.008934269304403318,1541,0.06683971447112265,1.0070945440023962,keep,False,True,False,False,False,False,,False,2200.5548855762595,2200.441876923077,29.391944450708632,31.30244440631954,1.134226707824047,-0.0038260113279667664,0.2924136347751791,0.6458033779635854,0.0038260113279667664,,False,1.0275873779842506,1.2329723923551585,0.18170903319381698,0.03926107461239937,False,False,0.019961991266335577,0.08209167073679097,6.0,253.0,True
3,1396.377,1285.214,441.692,1.712,4.595,0.0,3715.0417,0.06,518,0.00643915003219575,0.3163126850731659,0.008934269304403318,1543,0.06675307841866494,1.005789171942769,keep,True,True,False,False,False,False,log,False,1399.290291994479,1355.7814346153848,447.9849479781441,341.30620415433833,0.5804455970336784,-0.09845555502246416,0.790862296507587,0.9343293261001374,0.09845555502246416,,True,0.6404146083538633,0.9596575679049896,-0.7847672397995289,-0.6429218776651424,False,False,0.0080220965853941,0.03299006109763704,60.0,136.0,False
6,101.113,101.512,6.237,-0.107,2.019,82.1311,129.2522,0.0,510,0.00643915003219575,0.06168563339117743,0.008934269304403318,1543,0.06675307841866494,1.005789171942769,keep,False,True,False,False,False,False,,False,101.08577322291235,101.49097211538461,6.317479957547951,4.99590959162208,0.6253762667456322,0.06492095126591232,0.917874871624737,0.9707565514714297,0.06492095126591232,,True,0.6577552871626058,0.7343807369766053,-0.6772036253814919,-0.604377154791348,False,False,0.009231659518017965,0.03796426635980642,45.0,169.0,False
7,0.122,0.122,0.009,-12.915,173.152,0.0,0.1286,0.51,89,0.03530166880616174,0.07356105382597368,0.00574345883854499,1503,0.0665335994677312,1.0024822150570654,keep,True,True,True,False,False,False,log,True,0.12179037138927098,0.12225673076923077,0.009261872097018755,0.0019016479528345383,0.042156318976335615,0.05200397745430887,0.5154643423540715,0.8202657966641528,0.05200397745430887,0.9417067307692308,True,0.8693841921445644,0.9629629629629669,-4.568107291168564,-0.20193423129572624,False,True,0.0,0.0,214.0,188.0,False
8,1.463,1.462,0.074,-0.074,-0.2,1.191,1.6564,0.0,1208,0.003194888178913738,0.05051507156274303,0.0012763241863433313,1560,0.06474358974358975,0.9755115877712033,keep,False,False,False,False,False,False,,False,1.4623094455852155,1.4706192307692305,0.07478316852261246,0.05983398079398501,0.6401593179728129,0.11240580187331485,0.26726654516904014,0.6078540009596755,0.11240580187331485,,True,0.6651863386093672,0.7338634237605252,-0.6434970981409548,-0.5881695555810427,False,False,0.0,0.0,214.0,121.0,False
9,-0.001,-0.001,0.015,0.331,0.798,-0.0534,0.0749,0.32,568,0.006389776357827476,17.973588057593425,0.0012763241863433313,1555,0.06623794212218649,0.9980274548602522,keep,False,False,False,False,False,False,,False,-0.0007152635181382615,-0.002607692307692308,0.015206784481365625,0.013725970652416835,0.8147255762593016,-0.12515298984203208,0.4215463496957432,0.7712086575390946,0.12515298984203208,,False,0.8639865130589828,0.7603092783505154,-0.29561389620548734,-0.21091930297869824,False,False,0.00805653364696246,0.033131680031424464,59.0,103.0,False
10,0.0,0.0,0.009,0.058,1.514,-0.0349,0.053,0.45,392,0.0076677316293929714,63.82198348831225,0.0012763241863433313,1553,0.0669671603348358,1.009014810045074,keep,False,False,False,False,False,False,,False,6.228610540725528e-05,0.0013182692307692307,0.009249252171340478,0.009989020811930467,1.1663599418044608,0.13498984190759078,0.08339063989820085,0.3435914903864211,0.13498984190759078,,False,1.2023402715274232,1.1096491228070176,0.2220130768072732,0.26584524760753625,False,False,0.0,0.0,214.0,98.0,False
11,0.964,0.966,0.012,-10.215,242.955,0.6554,0.9848,0.0,378,0.008945686900958467,0.01291234084376268,0.0012763241863433313,1551,0.0670535138620245,1.0103159252095424,keep,True,True,True,False,False,False,log,True,0.9644611225188228,0.9628307692307693,0.012612490323633393,0.009851509932301165,0.6101040486278969,-0.13089547953290406,0.05088683188003372,0.24727514843711684,0.13089547953290406,0.9417067307692308,True,1.1385780685804678,1.1354961832061046,-0.7128727905091322,0.18723321575428536,False,False,0.0,0.0,214.0,101.0,False
12,199.957,199.536,3.257,7.205,155.442,182.094,272.0451,0.0,1547,0.0012779552715654952,0.01628989622766883,0.0012763241863433313,1563,0.06653870761356366,1.0025591810620602,keep,True,True,True,False,False,False,log,True,199.96199514031488,199.88395769230766,3.2996509177337265,2.6016604206556773,0.621677610505245,-0.023939160517326783,0.8321987840649299,0.9343293261001374,0.023939160517326783,0.9417067307692308,True,0.9578064681587605,0.8534171972079423,-0.6857614732175732,-0.062193916622846054,False,False,0.007596605771483356,0.031240273146572475,64.0,228.0,False
14,9.005,8.967,2.797,0.169,-0.003,2.2493,19.5465,0.0,1555,0.0012787723785166241,0.31054752974433203,0.0019144862795149968,1562,0.06594110115236876,0.9935548606323255,keep,False,False,False,False,False,False,,False,9.056840547945205,8.282810576923076,2.793905836052143,2.7468463133047996,0.9665964432335964,-0.2772146842905533,0.013456156102097121,0.1080697536949675,0.2772146842905533,,False,0.9929709040753266,1.188233234109613,-0.0490144087692445,-0.01017665020644875,False,False,0.00953759829534584,0.03922240864826493,42.0,26.0,False
15,413.086,412.219,17.221,17.061,402.433,333.4486,824.9271,0.0,1561,0.0012787723785166241,0.0416888809765681,0.0019144862795149968,1562,0.06658130601792574,1.003201024327785,keep,True,True,True,False,False,False,log,True,413.0992897260274,412.8999653846153,17.71133278838309,7.538466994433868,0.18116053256882428,-0.011565217573166876,0.6541691418322373,0.8968909972363392,0.011565217573166876,0.9417067307692308,True,0.7627783774259334,0.7739016613014958,-2.4646594092006087,-0.39066414691382245,False,True,0.001190776258897408,0.004896946965979625,145.0,243.0,False
17,0.971,0.973,0.012,-22.17,714.394,0.5794,0.9848,0.0,281,0.012148337595907928,0.012416993244740531,0.0019144862795149968,1545,0.06601941747572816,0.9947348767737119,keep,True,True,True,False,False,False,log,False,0.9714751369863015,0.9710057692307692,0.012344583866537301,0.007010904501332981,0.3225486242030597,-0.0388822964121489,0.1814086453245367,0.4856460609208952,0.0388822964121489,0.0,True,1.1125702451907644,1.2349397590361595,-1.632411431688502,0.15389642748490434,False,True,0.0002897891713040668,0.0011917286665634316,166.0,200.0,False
18,190.047,189.664,2.781,0.196,7.115,169.1774,215.5977,0.0,1548,0.0019181585677749361,0.014633409316712444,0.0019144862795149968,1561,0.06662395900064061,1.0038436899423446,keep,False,True,False,False,False,False,,False,190.0539228767123,189.95513076923075,2.795719726031603,2.5769182347444843,0.8495990454933363,-0.03549640236134804,0.8469324400893938,0.9343293261001374,0.03549640236134804,,False,0.9173850248593913,0.7982473875080544,-0.2351459495819292,-0.12440073743198082,False,False,0.0,0.0,214.0,208.0,False
19,12.481,12.5,0.218,-9.831,110.693,9.8773,12.9898,0.0,361,0.012845215157353885,0.0174637181922964,0.006381620931716656,1537,0.06376057254391672,0.960700165156899,keep,True,True,True,False,False,False,log,False,12.479256052269603,12.506132038834949,0.22486860790291013,0.06120211487694058,0.07407560323083326,0.12326283893441645,0.6381058868796854,0.8912674615656476,0.12326283893441645,0.0,True,0.5530153934839781,0.9850746268656859,-3.7548577200280846,-0.8546084556680544,False,False,0.010117160533361202,0.041605799752882346,35.0,107.0,False
