run_id,run_name,note,git_sha,data,snapshot_id,cv_aucpr_mean,cv_aucpr_std,threshold,holdout_aucpr,holdout_rocauc,holdout_brier,holdout_recall,holdout_precision,flagrate_recall,type,parent_run,method,brier_oof_raw,brier_oof_cal,brier_holdout_raw,brier_holdout_cal,n_design_rows,n_factors,n_background_rows,noise_mode
20260916_152728_xgb_sel,xgb_sel,,fa582ba,20f0e7ee434f7dcb,20260916_072819_c9104287,0.2251943557751336,0.0623650034814821,0.5807785391807556,0.1478812652349397,0.6974983541803819,0.06050930544734,0.0,0.0,0.1428571428571428,,,,,,,,,,,
20260916_152830_cal-platt__xgb_sel,,,,,,,,,0.1479,,,,,,calibration,20260916_152728_xgb_sel,platt,0.1193,0.0609,0.0605,0.0574,,,,
20260916_152859_xgb_sel,xgb_sel,,fa582ba,20f0e7ee434f7dcb,20260916_072941_c9104287,0.2251943557751336,0.0623650034814821,0.5807785391807556,0.1478812652349397,0.6974983541803819,0.06050930544734,0.0,0.0,0.1428571428571428,,,,,,,,,,,
20260916_152951_cal-platt__xgb_sel,,,,,,,,,0.1479,,,,,,calibration,20260916_152859_xgb_sel,platt,0.1193,0.0609,0.0605,0.0574,,,,
20260916_152957_score__batch_a_clean,,window 2026-01-05 00:00..2026-01-09 03:01; cal=20260916_152951_cal-platt__xgb_sel; n=100,fa582ba,,,,,,,,,,,,score,20260916_152859_xgb_sel,,,,,,,,,
20260916_152959_score__batch_b_shift,,window 2026-01-12 00:00..2026-01-16 03:01; cal=20260916_152951_cal-platt__xgb_sel; n=100,fa582ba,,,,,,,,,,,,score,20260916_152859_xgb_sel,,,,,,,,,
20260916_153002_score__batch_c_dropout,,window 2026-01-19 00:00..2026-01-23 03:01; cal=20260916_152951_cal-platt__xgb_sel; n=100,fa582ba,,,,,,,,,,,,score,20260916_152859_xgb_sel,,,,,,,,,
20260916_153004_score__holdout_replay,,window 2008-10-05 05:30:59..2008-10-15 19:24:01; cal=20260916_152951_cal-platt__xgb_sel; n=231,fa582ba,,,,,,,,,,,,score,20260916_152859_xgb_sel,,,,,,,,,
20260916_153007_scorecard__batch_a_clean,,label=batch_a_clean; n=100; capture=0.75 lift=7.5,fa582ba,,,,,,,,,,,,scorecard,20260916_152957_score__batch_a_clean,,,,,,,,,
20260916_153010_scorecard__batch_b_shift,,label=batch_b_shift; n=100; capture=0.80 lift=8.0,fa582ba,,,,,,,,,,,,scorecard,20260916_152959_score__batch_b_shift,,,,,,,,,
20260916_153013_scorecard__batch_c_dropout,,label=batch_c_dropout; n=100; capture=0.89 lift=8.9,fa582ba,,,,,,,,,,,,scorecard,20260916_153002_score__batch_c_dropout,,,,,,,,,
20260916_153016_scorecard__holdout_replay,,label=holdout_replay; n=231; capture=0.36 lift=3.4,fa582ba,,,,,,,,,,,,scorecard,20260916_153004_score__holdout_replay,,,,,,,,,
20260916_153032_xgb_sel,xgb_sel,,fa582ba,20f0e7ee434f7dcb,20260916_073117_c9104287,0.2251943557751336,0.0623650034814821,0.5807785391807556,0.1478812652349397,0.6974983541803819,0.06050930544734,0.0,0.0,0.1428571428571428,,,,,,,,,,,
20260916_153140_cal-platt__xgb_sel,,,,,,,,,0.1479,,,,,,calibration,20260916_153032_xgb_sel,platt,0.1193,0.0609,0.0605,0.0574,,,,
20260916_153146_doe-design_s060-factorial,doe-design_s060-factorial,,,,,,,,,,,,,,doe_design,20260916_153032_xgb_sel,,,,,,11.0,3.0,,
20260916_153151_doe_s060-factorial,,,,,,,,,,,,,,,doe,20260916_153032_xgb_sel,,,,,,11.0,,1309.0,bernoulli
