,mean_abs_shap
59,0.8134676
460,0.241979
21,0.2162349
86,0.19368131
0,0.18328252
477,0.16171439
10,0.15055367
201,0.1494444
486,0.1386798
65,0.13571255
488,0.13559616
469,0.1281639
102,0.12028154
280,0.119731605
33,0.11648688
344,0.11431135
445,0.112843595
541,0.111786194
491,0.10941795
353,0.10863616
519,0.108380005
300,0.10554835
485,0.103159405
420,0.09080465
362,0.08822895
475,0.087226816
81,0.08655545
19,0.08599974
2,0.084689125
115,0.082615785
558,0.079196595
90,0.078935936
64,0.074203834
588,0.07381526
423,0.07351427
520,0.07191864
103,0.06879989
575,0.06626011
426,0.06616405
91,0.06584821
126,0.06297272
556,0.060734153
571,0.059335906
436,0.05921868
83,0.05916391
125,0.058496624
577,0.05704387
421,0.05645471
45,0.05629882
130,0.05624082
340,0.056156997
408,0.05546184
562,0.053427346
496,0.05316267
563,0.05251948
487,0.05241939
67,0.051814318
484,0.051496863
31,0.050287955
66,0.04981027
352,0.049528852
295,0.04668492
28,0.04506921
416,0.044785656
385,0.044741627
129,0.042055253
446,0.042017035
82,0.041206796
351,0.04023792
51,0.03976715
301,0.03972183
63,0.038445648
431,0.03835552
437,0.038244974
366,0.03790776
41,0.037810583
424,0.037536725
303,0.037340138
113,0.037197392
32,0.0370138
88,0.036835957
274,0.036510553
377,0.03528553
555,0.035256006
298,0.03498719
417,0.034227274
336,0.033883166
35,0.03355889
71,0.032882333
348,0.03227056
48,0.030961202
297,0.03069259
365,0.030500028
17,0.029245704
524,0.02905275
210,0.028777925
557,0.028752472
527,0.027825821
455,0.027609529
273,0.026456056
100,0.026265131
470,0.024723671
118,0.02468852
467,0.024625162
453,0.024577284
523,0.02448122
30,0.023623087
552,0.02266279
8,0.022569226
54,0.02244808
104,0.02205464
324,0.020812403
497,0.020262158
285,0.020136176
15,0.019629361
548,0.01912877
20,0.01899209
468,0.018806737
60,0.018638179
26,0.018482948
511,0.018352129
419,0.018305458
58,0.017914603
441,0.017198015
92,0.016803391
410,0.016768742
459,0.016711075
349,0.016427476
480,0.016260097
409,0.015943214
570,0.015506619
411,0.015209663
576,0.015005378
526,0.014821394
120,0.014805638
96,0.014718922
23,0.014642386
46,0.014585085
355,0.013996836
1,0.013760741
62,0.013671984
412,0.013579489
40,0.013291882
39,0.013256729
440,0.012614918
12,0.01249105
433,0.0119907735
444,0.011779834
429,0.011491958
200,0.011340116
540,0.011219181
27,0.0108833695
586,0.010833877
281,0.010812095
413,0.010780366
134,0.010746263
457,0.010742428
510,0.010731113
9,0.010452434
428,0.009985767
354,0.00996645
87,0.009907674
78,0.0093682315
561,0.009363019
589,0.009309541
3,0.009015932
525,0.008922275
80,0.00885643
316,0.00881214
500,0.008666824
29,0.008570369
98,0.008532593
50,0.008439357
432,0.008401842
294,0.008377952
14,0.008369535
miss_clq14,0.008332192
84,0.008279882
356,0.008219296
585,0.008075981
278,0.008021477
44,0.007946171
494,0.007932049
547,0.007864335
76,0.0077943183
522,0.007752011
89,0.0077319476
127,0.007699031
490,0.0076862383
407,0.0074729184
36,0.0074523315
474,0.0073935217
560,0.0073300055
18,0.007178603
22,0.007033836
79,0.006997115
448,0.00694104
107,0.0069058808
472,0.0067172963
270,0.0065058023
442,0.006337442
43,0.0063032713
11,0.006140171
567,0.0060732355
368,0.0060722837
539,0.0060217734
24,0.005756572
108,0.0054684496
447,0.005315585
483,0.005179047
546,0.0051552295
545,0.0051358077
569,0.0050432114
338,0.0046565933
568,0.004544662
376,0.0044407696
439,0.004418482
495,0.00433854
471,0.0041172192
367,0.0039001293
70,0.0038658304
75,0.003850879
415,0.0038373957
337,0.0037953735
476,0.0036866488
128,0.0035121508
479,0.003471165
68,0.0029471642
456,0.0027303698
6,0.0027218144
489,0.0026022526
93,0.002345771
296,0.0022710941
302,0.002251466
473,0.002142793
112,0.0020673533
350,0.002001807
438,0.0019916645
493,0.0018294047
61,0.0018176488
454,0.0018096603
77,0.0014455905
53,0.0012905715
47,0.0012900995
row_missing_rate,0.0012285985
132,0.0012262309
7,0.0009097309
499,0.0007147886
482,0.000606212
275,0.00049021834
335,0.00048817665
452,0.00046709174
miss_clq23,0.00045324516
418,0.0001656926
387,0.0001288667
101,1.0076143e-05
95,0.0
521,0.0
544,0.0
542,0.0
miss_block5,0.0
