,repeat,fold,aucpr,rocauc,brier,best_iter,n_feats
0,0,0,0.142137776741548,0.6935336976320583,0.08412886410951614,293,51
1,0,1,0.2701058413458696,0.7345173041894353,0.11104940623044968,83,35
2,0,2,0.29056043632053835,0.6645036429872495,0.14047272503376007,41,48
3,0,3,0.130238700751468,0.6977459016393444,0.24362459778785706,0,40
4,0,4,0.2981485792636144,0.7029035208047554,0.1527605801820755,34,50
5,1,0,0.2908296522043458,0.7716302367941711,0.15956275165081024,31,42
6,1,1,0.13966166174879566,0.6290983606557377,0.0987928956747055,152,38
7,1,2,0.16785128984969663,0.7463570127504554,0.10466299951076508,87,45
8,1,3,0.2349871866587491,0.679075591985428,0.21742290258407593,7,45
9,1,4,0.22395057592529793,0.695016003657979,0.07666020840406418,279,51
10,2,0,0.3052027070109485,0.7531876138433516,0.11393704265356064,65,50
11,2,1,0.242946854312138,0.7989526411657559,0.11277227103710175,72,39
12,2,2,0.19670508585978738,0.6814663023679417,0.15198101103305817,40,30
13,2,3,0.1900559538089273,0.6581284153005464,0.16072891652584076,28,49
14,2,4,0.2112617184660021,0.7002743484224965,0.12738728523254395,62,46
