,mean_abs_shap
s060,0.80331486
s022,0.43460986
s461,0.39343375
s520,0.36284795
s001,0.35452133
s034,0.3512472
s470,0.34711868
s432,0.3103573
s476,0.29111472
s080,0.24249016
s349,0.22026779
s066,0.22012623
s130,0.21404397
s201,0.20997845
s126,0.19816592
s472,0.17726733
s558,0.1752989
s023,0.16986515
s301,0.16716215
s438,0.1546287
s299,0.1389436
s437,0.13659419
s302,0.13187398
s065,0.13022394
s511,0.11815454
s027,0.112826936
s128,0.112402864
s211,0.08067125
s338,0.079594314
s317,0.07733056
s079,0.0723833
s029,0.07232047
s295,0.07227027
f_miss_clq14,0.06835253
s104,0.0640121
s296,0.028065722
s388,0.0
f_miss_clq23,0.0
