feature,degenerate,ooc_p1,ewma_p1,miss_p1,ooc_p2,ewma_p2,miss_p2,ooc_tail,ewma_tail,miss_tail,delta,ewma_delta
s001,False,0.0153492,0.013751,0.00458365,0.0426357,0.0348837,0,0.0740741,0.0740741,0,0.0272865,0.0211328
s002,False,0.0460829,0.0320856,0.00534759,0.0271318,0.0193798,0,0,0,0,-0.0189512,-0.0127057
s003,False,0.00844854,0.0580596,0.00534759,0.00398406,0.0232558,0.0271318,0,0,0,-0.00446448,-0.0348038
s004,False,0.00614439,0.109244,0.00534759,0.123506,0.228682,0.0271318,0.333333,0.555556,0,0.117362,0.119438
s005,False,0.0145929,0.0672269,0.00534759,0.115538,0.565891,0.0271318,0.037037,0.185185,0,0.100945,0.498665
s006,True,,,,,,,,,,,
s007,False,0.0376344,0.145149,0.00534759,0.250996,0.282946,0.0271318,0.555556,0.518519,0,0.213362,0.137797
s008,False,0.00307456,0.0336134,0.00611154,0.0311284,0.228682,0.00387597,0,0.481481,0,0.0280538,0.195069
s009,False,0.00152788,0.012987,0,0.0078125,0.333333,0.00775194,0,0.851852,0.0740741,0.00628462,0.320346
s010,False,0.00611154,0.0168067,0,0.03125,0.0658915,0.00775194,0,0,0.0740741,0.0251385,0.0490848
s011,False,0.0152788,0.0351413,0,0.015625,0.0775194,0.00775194,0,0,0.0740741,0.000346161,0.0423781
s012,False,0.00381971,0.0679908,0,0,0,0.00775194,0,0,0.0740741,-0.00381971,-0.0679908
s013,False,0.00763942,0.0313216,0,0.0078125,0.100775,0.00775194,0,0,0.0740741,0.000173081,0.0694536
s014,True,,,,,,,,,,,
s015,False,0.00381971,0.0381971,0,0.00392157,0.232558,0.0116279,0,0,0.111111,0.000101859,0.194361
s016,False,0.00381971,0.0206264,0,0.00784314,0.108527,0.0116279,0,0,0.111111,0.00402343,0.0879007
s017,False,0.0114591,0.078686,0,0,0,0.0116279,0,0,0.111111,-0.0114591,-0.078686
s018,False,0.00534759,0.0771581,0,0,0,0.0116279,0,0,0.111111,-0.00534759,-0.0771581
s019,False,0.00687548,0.026738,0,0.00784314,0.0891473,0.0116279,0,0,0.111111,0.00096766,0.0624093
s020,False,0.0192456,0.0863254,0.00763942,0.0813953,0.306202,0,0,0,0,0.0621498,0.219876
s021,False,0.0145149,0.0297937,0,0.0155039,0.0193798,0,0,0,0,0.000988979,-0.0104139
s022,False,0.0780413,0.336134,0.00152788,0.0542636,0.0658915,0,0.037037,0.037037,0,-0.0237778,-0.270243
s023,False,0.0420811,0.297173,0.00152788,0,0.147287,0,0,0.111111,0,-0.0420811,-0.149887
s024,False,0.0925784,0.0672269,0.00152788,0.0697674,0.0581395,0,0,0.0740741,0,-0.022811,-0.00908736
s025,False,0.0543229,0.0580596,0.00152788,0.0387597,0.0387597,0,0.037037,0.037037,0,-0.0155632,-0.0192999
s026,False,0.27391,0.601986,0.00152788,0.155039,0.364341,0,0.259259,0.555556,0,-0.118871,-0.237645
s027,False,0.130069,0.400306,0.00152788,0.155039,0.457364,0,0.259259,0.62963,0,0.0249699,0.0570588
s028,False,0.27391,0.67838,0.00152788,0.155039,0.596899,0,0.259259,1,0,-0.118871,-0.0814812
s029,False,0.00459067,0.277311,0.00152788,0.00387597,0.689922,0,0,0.814815,0,-0.000714697,0.412612
s030,False,0.00765111,0.0450726,0.00152788,0,0.0465116,0,0,0,0,-0.00765111,0.00143905
s031,False,0.00841622,0.0595875,0.00152788,0.00387597,0.0697674,0,0,0,0,-0.00454025,0.01018
s032,False,0.240245,0.551566,0.00152788,0.155039,0.426357,0,0.259259,0.851852,0,-0.0852061,-0.125209
s033,False,0.0191131,0.107716,0.000763942,0.00775194,0.0658915,0,0,0,0,-0.0113612,-0.0418243
s034,False,0.0535168,0.203972,0.000763942,0.0581395,0.0852713,0,0.037037,0.148148,0,0.00462272,-0.118701
s035,False,0.0275229,0.273491,0.000763942,0.0426357,0.410853,0,0.0740741,0.407407,0,0.0151127,0.137361
s036,False,0.0275229,0.316272,0.000763942,0.00775194,0.20155,0,0,0,0,-0.019771,-0.114722
s037,False,0.0275229,0.273491,0.000763942,0.0426357,0.410853,0,0.0740741,0.407407,0,0.0151127,0.137361
s038,False,0.07263,0.118411,0.000763942,0,0.0348837,0,0,0.259259,0,-0.07263,-0.0835273
s039,False,0.0680428,0.150497,0.000763942,0.0348837,0.29845,0,0,0.666667,0,-0.0331591,0.147953
s040,False,0.059633,0.221543,0.000763942,0.294574,0.426357,0,0.37037,0.518519,0,0.234941,0.204813
s041,False,0.247471,0.764706,0.0183346,0.0813953,0.406977,0,0,0.148148,0,-0.166075,-0.357729
s042,False,0.115953,0.154316,0.0183346,0.0193798,0.0658915,0,0,0.037037,0,-0.0965735,-0.0884248
s043,True,,,,,,,,,,,
s044,False,0.0107034,0.122231,0.000763942,0.0581395,0.403101,0,0.0740741,0.148148,0,0.0474362,0.28087
s045,False,0.0107034,0.0496562,0.000763942,0,0.00387597,0,0,0,0,-0.0107034,-0.0457803
s046,False,0.00840979,0.025974,0.000763942,0,0.224806,0,0,0,0,-0.00840979,0.198832
s047,False,0.00458716,0.0313216,0.000763942,0,0.410853,0,0,0,0,-0.00458716,0.379531
s048,False,0.000764526,0.0496562,0.000763942,0,0.0503876,0,0,0.111111,0,-0.000764526,0.000731371
s049,False,0.00382263,0.0183346,0.000763942,0,0.0310078,0,0,0,0,-0.00382263,0.0126731
s050,True,,,,,,,,,,,
s051,False,0.00458716,0.0275019,0.000763942,0.00387597,0.255814,0,0,0,0,-0.000711187,0.228312
s052,False,0,0.0993125,0.000763942,0,0.0387597,0,0,0,0,0,-0.0605528
s053,True,,,,,,,,,,,
s054,False,0.00766284,0.0305577,0.00305577,0.0581395,0.244186,0,0.037037,0.037037,0,0.0504767,0.213628
s055,False,0.016092,0.0420168,0.00305577,0.0387597,0.232558,0,0.037037,0.037037,0,0.0226677,0.190541
s056,False,0.00383142,0.0779221,0.00305577,0,0.0116279,0,0,0.037037,0,-0.00383142,-0.0662942
s057,False,0.0306513,0.148205,0.00305577,0.286822,0.786822,0,0.185185,0.407407,0,0.25617,0.638617
s058,False,0.00689655,0.0213904,0.00305577,0.0193798,0.00775194,0,0,0,0,0.0124833,-0.0136384
s059,False,0.00153257,0.026738,0.00305577,0.0310078,0.0620155,0,0,0,0,0.0294752,0.0352775
s060,False,0.135177,0.252865,0.00534759,0.00387597,0,0,0,0,0,-0.131301,-0.252865
s061,False,0.00844206,0.0435447,0.00458365,0.0193798,0.25969,0,0,0.037037,0,0.0109378,0.216145
s062,False,0.0360706,0.0588235,0.00458365,0.0310078,0.120155,0,0.037037,0.0740741,0,-0.00506285,0.0613315
s063,False,0.0268611,0.0863254,0.00458365,0.00387597,0.360465,0,0,0.222222,0,-0.0229851,0.27414
s064,False,0.0330261,0.10084,0.00534759,0.00775194,0.0581395,0,0,0.148148,0,-0.0252742,-0.0427008
s065,False,0.0384025,0.0954927,0.00534759,0.00387597,0,0,0,0,0,-0.0345265,-0.0954927
s066,False,0.0330261,0.101604,0.00534759,0.0155039,0.100775,0,0,0,0,-0.0175222,-0.000829084
s067,False,0.0038373,0.0359053,0.00458365,0.0116279,0.333333,0,0,0,0,0.00779061,0.297428
s068,False,0.0575595,0.147441,0.00458365,0.147287,0.25969,0,0.0740741,0.148148,0,0.0897273,0.112249
s069,False,0.0107444,0.039725,0.00458365,0.00775194,0.00775194,0,0.037037,0,0,-0.0029925,-0.031973
s070,True,,,,,,,,,,,
s071,False,0.00537222,0.0473644,0.00458365,0,0.414729,0,0,0.185185,0,-0.00537222,0.367364
s072,False,0.0544896,0.15508,0.00458365,0.0930233,0.232558,0,0,0.0740741,0,0.0385336,0.0774779
s073,False,0.0225989,0.0542399,0.459129,0,0.174419,0.748062,0,0,0.925926,-0.0225989,0.120179
s074,False,0.0254237,0.149733,0.459129,0.0307692,0.0116279,0.748062,0,0,0.925926,0.0053455,-0.138105
s075,True,,,,,,,,,,,
s076,False,0.0190985,0.0970206,0,0.0042735,0.0271318,0.0930233,0,0,0.888889,-0.014825,-0.0698888
s077,False,0.00534759,0.091673,0,0,0.302326,0.0930233,0,1,0.888889,-0.00534759,0.210653
s078,False,0.0091673,0.0229183,0,0.0128205,0.0620155,0.0930233,0,0,0.888889,0.00365321,0.0390972
s079,False,0.00534759,0.25974,0,0,0.0232558,0.0930233,0,0,0.888889,-0.00534759,-0.236484
s080,False,0.038961,0.193277,0,0,0.00775194,0.0930233,0,0,0.888889,-0.038961,-0.185525
s081,False,0.00763942,0.299465,0,0,0,0.0930233,0,0,0.888889,-0.00763942,-0.299465
s082,False,0.0779221,0.07945,0,0.15812,0.217054,0.0930233,0,0,0.888889,0.0801976,0.137604
s083,False,0.0252101,0.0702827,0,0.0042735,0.317829,0.0930233,0,1,0.888889,-0.0209366,0.247547
s084,False,0.00152788,0.00458365,0,0,0.00387597,0.00387597,0,0,0.037037,-0.00152788,-0.000707683
s085,False,0.00385505,0.00840336,0.0091673,0.00775194,0.00775194,0,0,0,0,0.00389689,-0.000651423
s086,False,0,0.0420168,0.883117,0.0136986,0.0775194,0.717054,0,0,0.777778,0.0136986,0.0355026
s087,False,0.00993125,0.00458365,0,0.0155039,0.00775194,0,0,0,0,0.00557263,0.00316829
s088,False,0.269672,0.533995,0,0.104651,0.189922,0,0.037037,0.037037,0,-0.16502,-0.344073
s089,False,0.0152788,0.0244461,0,0.0271318,0.00387597,0,0.037037,0,0,0.0118529,-0.0205702
s090,False,0.00993125,0.0802139,0,0.00966184,0.135659,0.197674,0,0.407407,0.296296,-0.000269409,0.055445
s091,False,0.0091673,0.0160428,0,0.0144928,0.0348837,0.197674,0,0,0.296296,0.00532545,0.0188409
s092,False,0.0368381,0.0450726,0.00458365,0.127907,0.182171,0,0.148148,0.037037,0,0.0910689,0.137098
s093,False,0.0451415,0.0893812,0.00152788,0,0,0,0,0,0,-0.0451415,-0.0893812
s094,False,0.0673298,0.130634,0.00152788,0.00775194,0.00775194,0,0,0,0,-0.0595778,-0.122882
s095,False,0.0207214,0.0481283,0.00458365,0.0271318,0.0155039,0,0,0,0,0.00641037,-0.0326245
s096,False,0.0038373,0.100076,0.00458365,0.00387597,0.00387597,0,0,0,0,3.86705e-05,-0.0962004
s097,False,0.0337682,0.065699,0.00458365,0.0271318,0.0697674,0,0,0,0,-0.00663644,0.00406843
s098,True,,,,,,,,,,,
s099,False,0.0475825,0.0687548,0.00458365,0.0348837,0.0620155,0,0,0,0,-0.0126988,-0.00673927
s100,False,0.0260936,0.0450726,0.00458365,0.0155039,0.0310078,0,0.037037,0,0,-0.0105898,-0.0140648
s101,False,0.0253262,0.0473644,0.00458365,0.0155039,0.00775194,0,0,0,0,-0.00982229,-0.0396125
s102,False,0.0406754,0.0672269,0.00458365,0.0310078,0.0542636,0,0,0,0,-0.00966761,-0.0129633
s103,False,0.0399079,0.0595875,0.00458365,0.0116279,0.0581395,0,0,0.037037,0,-0.02828,-0.00144794
s104,False,0.00535578,0.194805,0.00152788,0.00387597,0.0116279,0,0,0,0,-0.00147981,-0.183177
s105,False,0.0267789,0.0404889,0.00152788,0.0116279,0.0310078,0,0.037037,0,0,-0.015151,-0.00948117
s106,False,0.0475825,0.0970206,0.00458365,0.00387597,0,0,0,0,0,-0.0437065,-0.0970206
s107,False,0.0775134,0.15508,0.00458365,0.0116279,0.0116279,0,0,0,0,-0.0658855,-0.143452
s108,False,0.0299309,0.0473644,0.00458365,0,0,0,0,0,0,-0.0299309,-0.0473644
s109,False,0.0214889,0.0343774,0.00458365,0.0116279,0.0193798,0,0,0,0,-0.00986096,-0.0149975
s110,False,0.00306748,0.0893812,0.750955,0.0044843,0.643411,0.135659,0,1,0,0.00141682,0.55403
s111,False,0.134969,0.105424,0.750955,0.430493,0.682171,0.135659,0.333333,0.518519,0,0.295524,0.576747
s112,False,0.0122699,0.0710466,0.750955,0.547085,0.864341,0.135659,0.37037,1,0,0.534815,0.793294
s113,False,0.0370813,0.195569,0.361345,0.125,0.910853,0.937984,,1,1,0.0879187,0.715284
s114,False,0.0106952,0.0229183,0,0.00775194,0.0310078,0,0,0,0,-0.00294325,0.00808949
s115,True,,,,,,,,,,,
s116,False,0.0244461,0.0229183,0,0.0426357,0.0426357,0,0.0740741,0,0,0.0181895,0.0197174
s117,False,0.18411,0.654698,0,0.426357,1,0,0.407407,1,0,0.242247,0.345302
s118,False,0.0374332,0.0504202,0,0.0736434,0.0736434,0,0,0,0,0.0362103,0.0232232
s119,False,0.0106952,0.0565317,0,0.0299145,0.255814,0.0930233,0,0.962963,0.888889,0.0192193,0.199282
s120,False,0.00229183,0.00993125,0,0,0,0,0,0,0,-0.00229183,-0.00993125
s121,False,0.026738,0.0336134,0,0.0348837,0.0348837,0,0.0740741,0.037037,0,0.00814575,0.00127028
s122,False,0.0122794,0.196333,0.00458365,0.0392157,0.22093,0.0116279,0,0,0.111111,0.0269363,0.0245972
s123,False,0.00460476,0.179526,0.00458365,0,0.0310078,0.0116279,0,0.0740741,0.111111,-0.00460476,-0.148519
s124,False,0.00537222,0.167303,0.00458365,0,0.143411,0.0116279,0,0,0.111111,-0.00537222,-0.0238924
s125,False,0.00153492,0.197861,0.00458365,0,0.139535,0.0116279,0,0,0.111111,-0.00153492,-0.0583261
s126,False,0.0660015,0.200917,0.00458365,0.027451,0.352713,0.0116279,0,1,0.111111,-0.0385506,0.151796
s127,False,0.0253262,0.177235,0.00458365,0,0.0426357,0.0116279,0,0,0.111111,-0.0253262,-0.134599
s128,False,0.00920952,0.233002,0.00458365,0,0.0852713,0.0116279,0,0.111111,0.111111,-0.00920952,-0.147731
s129,False,0.0214889,0.190222,0.00458365,0.0392157,0.162791,0.0116279,0.375,0.555556,0.111111,0.0177268,-0.0274308
s130,False,0.195702,0.304049,0.00458365,0.00392157,0.139535,0.0116279,0,0.0740741,0.111111,-0.191781,-0.164514
s131,False,0.0038373,0.141329,0.00458365,0.0156863,0.20155,0.0116279,0,0.407407,0.111111,0.011849,0.0602211
s132,False,0.00920952,0.0932009,0.00458365,0,0.0426357,0.0116279,0,0,0.111111,-0.00920952,-0.0505653
s133,False,0,0.148969,0.00381971,0,0.0813953,0.0116279,0,0,0.111111,0,-0.0675733
s134,False,0.00613497,0.117647,0.00381971,0.0352941,0.263566,0.0116279,0,0,0.111111,0.0291591,0.145919
s135,False,0.00690184,0.10848,0.00381971,0.0196078,0.317829,0.0116279,0,0.851852,0.111111,0.012706,0.20935
s136,False,0.0314417,0.0954927,0.00381971,0.0503876,0.0697674,0,0.111111,0.259259,0,0.0189459,-0.0257253
s137,False,0,0,0.00458365,0,0,0,0,0,0,0,0
s138,False,0.000768049,0.00152788,0.00534759,0,0,0,0,0,0,-0.000768049,-0.00152788
s139,False,0.0430108,0.140565,0.00534759,0.111554,0.162791,0.0271318,0.259259,0.259259,0,0.068543,0.0222254
s140,False,0.0645161,0.194805,0.00534759,0.12749,0.534884,0.0271318,0.148148,0.555556,0,0.0629739,0.340079
s141,False,0.0261137,0.165011,0.00534759,0.0956175,0.624031,0.0271318,0.111111,0.62963,0,0.0695039,0.45902
s142,True,,,,,,,,,,,
s143,False,0.0368664,0.109244,0.00534759,0.0318725,0.139535,0.0271318,0,0.037037,0,-0.00499385,0.0302912
s144,False,0.0076864,0.0572956,0.00611154,0.0311284,0.108527,0.00387597,0,0.333333,0,0.023442,0.0512315
s145,False,0.052712,0.124523,0,0.226562,0.891473,0.00775194,0.16,0.592593,0.0740741,0.173851,0.76695
s146,False,0.0511841,0.132926,0,0.03125,0.286822,0.00775194,0,0,0.0740741,-0.0199341,0.153896
s147,False,0.0641711,0.152024,0,0.0664062,0.344961,0.00775194,0,0.0740741,0.0740741,0.00223513,0.192937
s148,False,0.00840336,0.0626432,0,0.00390625,0.00387597,0.00775194,0,0,0.0740741,-0.00449711,-0.0587673
s149,False,0.00458365,0.0748663,0,0.00390625,0.124031,0.00775194,0,0,0.0740741,-0.000677402,0.0491647
s150,True,,,,,,,,,,,
s151,False,0.0443086,0.117647,0,0.0509804,0.174419,0.0116279,0,0.037037,0.111111,0.00667176,0.0567715
s152,False,0.013751,0.110008,0,0.027451,0.162791,0.0116279,0.0416667,0,0.111111,0.0137,0.0527831
s153,False,0.135218,0.359817,0,0.0392157,0.0581395,0.0116279,0.208333,0.518519,0.111111,-0.096002,-0.301677
s154,False,0.0091673,0.0611154,0,0.00392157,0.0155039,0.0116279,0,0,0.111111,-0.00524573,-0.0456115
s155,False,0.00458365,0.065699,0,0.00392157,0.155039,0.0116279,0,0,0.111111,-0.000662083,0.0893398
s156,False,0.0400308,0.268144,0.00763942,0.0968992,0.434109,0,0,0,0,0.0568684,0.165965
s157,False,0.0450726,0.0962567,0,0.0116279,0.0193798,0,0,0,0,-0.0334447,-0.0768768
s158,False,0.0983607,0.271963,0.906799,0.0625,0.0581395,0.937984,0,0,0.962963,-0.0358607,-0.213824
