feature,center,sigma,lcl,ucl,mr_bar,mr_ucl,degenerate
s001,3012.18,66.9097,2811.45,3212.91,77.3416,252.675,False
s002,2498.72,63.7518,2307.46,2689.98,86.0906,281.258,False
s003,2200.2,29.7178,2111.05,2289.35,28.4398,92.9127,False
s004,1281.79,387.636,118.878,2444.69,351.197,1147.36,False
s005,1.2981,0.327506,0.315581,2.28062,2.06279,6.73912,False
s006,100,0,100,100,0,0,True
s007,101.851,4.18834,89.2855,114.416,4.3223,14.121,False
s008,0.1223,0.00207564,0.116073,0.128527,0.00164769,0.00538301,False
s009,1.4675,0.074723,1.24333,1.69167,0.069628,0.227475,False
s010,-0.0013,0.0143812,-0.0444437,0.0418437,0.0157664,0.0515087,False
s011,0.0004,0.00845082,-0.0249525,0.0257525,0.00938907,0.0306741,False
s012,0.9655,0.0106747,0.933476,0.997524,0.00983631,0.0321352,False
s013,199.61,2.54637,191.971,207.249,2.66113,8.69393,False
s014,0,0,0,0,0,0,True
s015,8.6805,2.88217,0.0339768,17.327,2.67203,8.72953,False
s016,411.37,9.47678,382.939,439.8,10.5936,34.6095,False
s017,9.8492,0.455455,8.48284,11.2156,0.624159,2.03913,False
s018,0.9725,0.00681996,0.95204,0.99296,0.00743196,0.0242802,False
s019,189.708,2.5778,181.975,197.441,2.64237,8.63263,False
s020,12.499,0.0578214,12.3255,12.6725,0.077578,0.253447,False
s021,1.4063,0.0134917,1.36583,1.44677,0.0162334,0.0530345,False
s022,-5537,312.458,-6474.37,-4599.63,532.167,1738.59,False
s023,2684,173.094,2164.72,3203.28,250.255,817.583,False
s024,-3856.25,803.199,-6265.85,-1446.65,1437.2,4695.34,False
s025,-35.25,2177.2,-6566.84,6496.34,2954.78,9653.26,False
s026,1.2818,0.0392889,1.16393,1.39967,0.139238,0.454892,False
s027,1.9855,0.0333585,1.88542,2.08558,0.0909574,0.297158,False
s028,7.263,0.135658,6.85603,7.66997,0.929476,3.0366,False
s029,68.6778,2.88292,60.0291,77.3265,2.94993,9.63743,False
s030,2.4222,0.411866,1.1866,3.6578,0.428099,1.3986,False
s031,0.1891,0.0317276,0.0939171,0.284283,0.0330466,0.107963,False
s032,3.4362,0.116088,3.08794,3.78446,0.418747,1.36805,False
s033,85.2227,0.847009,82.6817,87.7637,1.37969,4.50744,False
s034,8.7698,0.314311,7.82687,9.71273,0.678038,2.21515,False
s035,50.3873,0.202227,49.7806,50.994,0.568498,1.85728,False
s036,64.1615,0.228913,63.4748,64.8482,1.0323,3.37252,False
s037,49.6127,0.202227,49.006,50.2194,0.568495,1.85727,False
s038,66.2381,0.215422,65.5918,66.8844,0.29221,0.954651,False
s039,86.838,0.275764,86.0107,87.6653,0.373133,1.21903,False
s040,118.373,0.589778,116.604,120.143,1.16372,3.80187,False
s041,77.92,3.27655,68.0904,87.7496,19.5948,64.0161,False
s042,3.128,0.619727,1.26882,4.98718,1.29516,4.2313,False
s043,70,0,70,70,0,0,True
s044,353.38,4.95455,338.516,368.243,5.55033,18.1329,False
s045,10.0421,0.171166,9.5286,10.5556,0.171483,0.560234,False
s046,135.114,7.95882,111.238,158.991,7.75739,25.3434,False
s047,731.124,12.0006,695.122,767.126,12.0637,39.4121,False
s048,1.25695,0.20282,0.648491,1.86541,0.195085,0.637341,False
s049,140.254,4.63246,126.357,154.151,4.71671,15.4095,False
s050,1,0,1,1,0,0,True
s051,630.357,8.84779,603.814,656.901,8.52866,27.8631,False
s052,183.45,64.3609,-9.63273,376.533,57.6005,188.181,False
s053,0,0,0,0,0,0,True
s054,4.596,0.0311346,4.5026,4.6894,0.0349126,0.114059,False
s055,4.844,0.037065,4.73281,4.95519,0.0448781,0.146617,False
s056,2853,25.2042,2777.39,2928.61,23.3152,76.1707,False
s057,0.9314,0.00415128,0.918946,0.943854,0.0048704,0.0159116,False
s058,0.9493,0.00400302,0.937291,0.961309,0.00427661,0.0139717,False
s059,4.5924,0.103041,4.28328,4.90152,0.0636975,0.2081,False
s060,1.29185,4.59139,-12.4823,15.066,6.56263,21.4401,False
s061,353.534,5.52461,336.96,370.107,5.46724,17.8615,False
s062,10.4436,0.212901,9.8049,11.0823,0.270583,0.883996,False
s063,115.22,6.07466,96.996,133.444,7.36644,24.0662,False
s064,13.4265,4.31963,0.467612,26.3854,5.39633,17.6298,False
s065,19.7981,4.03534,7.69213,31.9042,4.88239,15.9508,False
s066,26.0224,5.09629,10.7336,41.3113,6.07163,19.836,False
s067,704.749,11.153,671.29,738.208,11.3459,37.0671,False
s068,0.9973,0.130024,0.607228,1.38737,36.4462,119.07,False
s069,147.594,3.49226,137.117,158.07,4.07715,13.3201,False
s070,1,0,1,1,0,0,True
s071,617.463,8.80664,591.043,643.883,9.44293,30.8501,False
s072,101.986,21.0233,38.9162,165.056,28.5225,93.1831,False
s073,151.508,9.5535,122.848,180.169,12.5063,40.858,False
s074,466.15,2.63391,458.248,474.052,6.42058,20.976,False
s075,0,0,0,0,0,0,True
s076,-0.0056,0.0203116,-0.0665349,0.0553349,0.0192923,0.0630279,False
s077,-0.0328,0.0338033,-0.13421,0.0686098,0.0305495,0.0998054,False
s078,-0.0065,0.0271316,-0.0878947,0.0748947,0.0334375,0.10924,False
s079,-0.0185,0.0468502,-0.15905,0.12205,0.0313824,0.102526,False
s080,0.0012,0.0195703,-0.057511,0.059911,0.0194599,0.0635754,False
s081,-0.0111,0.0394372,-0.129411,0.107211,0.035558,0.116168,False
s082,-0.0196,0.0106747,-0.0516242,0.0124242,0.0162788,0.0531829,False
s083,0.009,0.0315794,-0.0857381,0.103738,0.0316823,0.103506,False
s084,7.4462,0.534033,5.8441,9.0483,0.581824,1.90082,False
s085,0.133,0.00489258,0.118322,0.147678,0.00557924,0.0182274,False
s086,0.1138,0.00266868,0.105794,0.121806,0.00266447,0.00870484,False
s087,2.4035,0.0375098,2.29097,2.51603,0.0398713,0.130259,False
s088,0.9872,0.0044478,0.973857,1.00054,0.0106852,0.0349084,False
s089,1810.43,47.9569,1666.56,1954.3,55.9973,182.943,False
s090,0.1923,0.0189773,0.135368,0.249232,0.0258136,0.0843331,False
s091,8818.97,363.86,7727.39,9910.55,422.777,1381.21,False
s092,0,0.0616762,-0.185028,0.185028,0.0797493,0.260541,False
s093,0.0004,0.00237216,-0.00671648,0.00751648,0.0031624,0.0103316,False
s094,-0.0003,0.00207564,-0.00652692,0.00592692,0.00302358,0.00987805,False
s095,0,0.00014826,-0.00044478,0.00044478,0.000169278,0.000553031,False
s096,0,0.00014826,-0.00044478,0.00044478,8.35637e-05,0.000273003,False
s097,0.0066,0.153746,-0.454637,0.467837,0.215978,0.705601,False
s098,0,0,0,0,0,0,True
s099,0,0.288069,-0.864208,0.864208,0.427365,1.3962,False
s100,0,0.0426989,-0.128097,0.128097,0.056561,0.184785,False
s101,0,0.00029652,-0.00088956,0.00088956,0.000356144,0.00116352,False
s102,0,0.00014826,-0.00044478,0.00044478,0.000210445,0.000687525,False
s103,0,0.0475915,-0.142774,0.142774,0.0610732,0.199526,False
s104,-0.0098,0.0029652,-0.0186956,-0.0009044,0.00235421,0.00769121,False
s105,0,0.00059304,-0.00177912,0.00177912,0.000779403,0.00254631,False
s106,-0.0002,0.0022239,-0.0068717,0.0064717,0.00308955,0.0100936,False
s107,0.0002,0.00192738,-0.00558214,0.00598214,0.00295522,0.00965471,False
s108,0,0.0750196,-0.225059,0.225059,0.0926316,0.302628,False
s109,-0.0118,0.0766504,-0.241751,0.218151,0.0940025,0.307106,False
s110,0.9796,0.00252042,0.972039,0.987161,0.00158215,0.0051689,False
s111,101.65,0.760129,99.3697,103.93,1.24541,4.06876,False
s112,230.784,0.88148,228.139,233.428,0.798219,2.60778,False
s113,0.46295,0.00541149,0.446716,0.479184,0.0146582,0.0478884,False
s114,0.9457,0.0105265,0.914121,0.977279,0.0128217,0.0418885,False
s115,0,0,0,0,0.00026208,0.000856214,True
s116,749.388,40.2053,628.772,870.004,52.4155,171.242,False
s117,0.9907,0.00044478,0.989366,0.992034,0.00588333,0.0192209,False
s118,58.5398,0.813503,56.0993,60.9803,1.40726,4.59752,False
s119,0.599,0.0066717,0.578985,0.619015,0.00718639,0.0234779,False
s120,0.9693,0.00934038,0.941279,0.997321,0.0083698,0.0273441,False
s121,6.3136,0.0942934,6.03072,6.59648,0.120678,0.394256,False
s122,15.8,0.088956,15.5331,16.0669,0.0565745,0.184829,False
s123,3.703,0.917729,0.949812,6.45619,0.43224,1.41213,False
s124,15.84,0.103782,15.5287,16.1513,0.0640476,0.209244,False
s125,15.79,0.118608,15.4342,16.1458,0.0642627,0.209946,False
s126,1.097,0.216904,0.446287,1.74771,0.16741,0.54693,False
s127,2.748,0.212012,2.11196,3.38404,0.158594,0.518126,False
s128,0.6274,0.122018,0.261346,0.993454,0.0671344,0.219328,False
s129,3.191,0.173464,2.67061,3.71139,0.126754,0.414106,False
s130,-0.1419,0.631291,-2.03577,1.75197,0.517929,1.69207,False
s131,0.7672,0.0818395,0.521681,1.01272,0.0425552,0.139028,False
s132,0.9978,0.00192738,0.992018,1.00358,0.00160945,0.00525806,False
s133,2.3237,0.0609349,2.1409,2.5065,0.0292892,0.0956877,False
s134,1004.59,5.93485,986.79,1022.4,4.32666,14.1352,False
s135,38.9487,2.45185,31.5931,46.3042,2.15412,7.03751,False
s136,111,29.652,22.044,199.956,41.4589,135.446,False
s137,132.3,65.6792,-64.7375,329.338,59.8958,195.679,False
s138,118.95,58.1179,-55.4038,293.304,57.5353,187.968,False
s139,56.2,8.8953,29.5141,82.8859,11.042,36.0743,False
s140,330.196,160.251,-150.558,810.95,195.342,638.182,False
s141,0.2367,0.190292,-0.334175,0.807575,15.5871,50.9232,False
s142,0,0,0,0,0,0,True
s143,6.265,1.7124,1.12779,11.4022,2.06486,6.74589,False
s144,0.004,0.00118608,0.00044176,0.00755824,0.00111215,0.00363341,False
s145,0.1023,0.0335068,0.00177972,0.20282,0.0488361,0.159547,False
s146,0.0572,0.0158638,0.00960854,0.104791,0.0214433,0.0700554,False
s147,0.049,0.0128986,0.0103041,0.0876959,0.0179015,0.058484,False
s148,0.016,0.00874734,-0.010242,0.042242,0.00959824,0.0313575,False
s149,7.8728,2.26986,1.06322,14.6824,3.38677,11.0646,False
s150,0,0,0,0,0,0,True
s151,5.896,2.49818,-1.59854,13.3905,3.16626,10.3442,False
s152,11.325,4.65685,-2.64554,25.2955,9.01376,29.4479,False
s153,0.4688,0.182656,-0.079169,1.01677,1.77059,5.78451,False
s154,0.011,0.0059304,-0.0067912,0.0287912,0.00584037,0.0190805,False
s155,7.4537,2.2279,0.769991,14.1374,2.50718,8.19095,False
s156,0.33,0.14826,-0.11478,0.77478,0.333319,1.08895,False
s157,0.0493,0.0217942,-0.0160827,0.114683,0.0359043,0.117299,False
s158,0.0361,0.0157156,-0.0110467,0.0832467,0.0301636,0.0985446,False
s159,1027.55,403.786,-183.809,2238.91,463.051,1512.79,False
s160,602,352.859,-456.576,1660.58,752.636,2458.86,False
s161,461,241.664,-263.991,1185.99,435.083,1421.42,False
s162,2732,2384.02,-4420.06,9884.06,4060.76,13266.5,False
s163,1733,2370.68,-5379.03,8845.03,5655.89,18477.8,False
s164,0.119,0.044478,-0.014434,0.252434,0.0796179,0.260112,False
s165,0.089,0.0326172,-0.0088516,0.186852,0.100897,0.329629,False
s166,0.178,0.0830256,-0.0710768,0.427077,0.197243,0.644394,False
s167,2.6,0.7413,0.3761,4.8239,0.981164,3.20546,False
s168,1.1,0.44478,-0.23434,2.43434,0.495406,1.61849,False
s169,0.118,0.044478,-0.015434,0.251434,0.0493706,0.161294,False
s170,0.391,0.213494,-0.249483,1.03148,0.190601,0.622694,False
s171,0.7007,0.160862,0.218114,1.18329,0.166921,0.545329,False
s172,0.1092,0.0441815,-0.0233444,0.241744,0.0541401,0.176876,False
s173,0.3255,0.0706459,0.113562,0.537438,0.0783218,0.255877,False
s174,0.5785,0.0865097,0.318971,0.838029,0.101005,0.329984,False
s175,0.3255,0.0706459,0.113562,0.537438,0.078329,0.255901,False
s176,0.7792,0.116088,0.430937,1.12746,0.115651,0.377831,False
s177,0.2436,0.0719802,0.0276593,0.459541,0.0780667,0.255044,False
s178,0.292,0.128986,-0.0949586,0.678959,0.264359,0.86366,False
s179,0,0,0,0,0,0,True
s180,0,0,0,0,0,0,True
s181,18.34,2.77246,10.0226,26.6574,3.1165,10.1816,False
s182,0.5025,0.227579,-0.180237,1.18524,0.219073,0.71571,False
s183,9.705,3.61013,-1.12539,20.5354,3.75276,12.2603,False
s184,27.991,7.57016,5.28053,50.7015,5.93496,19.3895,False
s185,0.13125,0.0481104,-0.0130811,0.275581,0.0641508,0.209581,False
s186,6.67,2.25355,-0.090656,13.4307,3.14796,10.2844,False
s187,0,0,0,0,0,0,True
s188,18.225,4.48487,4.7704,31.6796,4.87357,15.9219,False
s189,40.2405,24.7898,-34.1289,114.61,23.9614,78.282,False
s190,0,0,0,0,0,0,True
s191,0,0,0,0,0,0,True
s192,0,0,0,0,0,0,True
s193,0,0,0,0,0,0,True
s194,0,0,0,0,0,0,True
s195,0,0,0,0,0,0,True
s196,0.263,0.0489258,0.116223,0.409777,0.142936,0.466971,False
