,repeat,fold,aucpr,rocauc,brier,best_iter,n_feats
0,0,0,0.15225507056254856,0.7044626593806922,0.07865238189697266,424,52
1,0,1,0.2701058413458696,0.7345173041894353,0.11104940623044968,83,35
2,0,2,0.29490017822007497,0.6773679417122039,0.13170231878757477,49,48
3,0,3,0.130238700751468,0.6977459016393444,0.24362459778785706,0,40
4,0,4,0.3180997373060171,0.7146776406035665,0.12911568582057953,53,50
5,1,0,0.2908296522043458,0.7716302367941711,0.15956275165081024,31,42
6,1,1,0.13966166174879566,0.6290983606557377,0.0987928956747055,152,38
7,1,2,0.16785128984969663,0.7463570127504554,0.10466299951076508,87,45
8,1,3,0.2349871866587491,0.679075591985428,0.21742290258407593,7,45
9,1,4,0.22395057592529793,0.695016003657979,0.07666020840406418,279,51
10,2,0,0.3052027070109485,0.7531876138433516,0.11393704265356064,65,50
11,2,1,0.2537546249647949,0.8046448087431695,0.11193162947893143,72,39
12,2,2,0.19670508585978738,0.6814663023679417,0.15198101103305817,40,30
13,2,3,0.18811130575260765,0.6535746812386156,0.16042539477348328,28,49
14,2,4,0.2112617184660021,0.7002743484224965,0.12738728523254395,62,46
