feature,t,value,mr,ewma,ewma_lcl,ewma_ucl,r1,r2,r3,r4
s060,0,-1.7264,,0.39508,-3.5136,5.3645,False,False,False,False
s060,1,0.8073,2.5337,0.477524,-3.5136,5.3645,False,False,False,False
s060,2,23.8245,23.0172,5.14692,-3.5136,5.3645,True,False,False,False
s060,3,24.3791,0.5546,8.99336,-3.5136,5.3645,True,True,False,False
s060,4,-12.2945,36.6736,4.73578,-3.5136,5.3645,False,False,False,False
s060,5,28.2955,40.59,9.44773,-3.5136,5.3645,True,True,False,False
s060,6,2.1109,26.1846,7.98036,-3.5136,5.3645,False,False,False,False
s060,7,29.1309,27.02,12.2105,-3.5136,5.3645,True,True,False,False
s060,8,26.9791,2.1518,15.1642,-3.5136,5.3645,True,True,False,False
s060,9,28.3118,1.3327,17.7937,-3.5136,5.3645,True,True,True,False
s060,10,27.8373,0.4745,19.8024,-3.5136,5.3645,True,True,True,False
s060,11,25.0836,2.7537,20.8587,-3.5136,5.3645,True,True,True,False
s060,12,22.6227,2.4609,21.2115,-3.5136,5.3645,True,True,True,True
s060,13,-1.1927,23.8154,16.7306,-3.5136,5.3645,False,False,False,False
s060,14,17.6382,18.8309,16.9122,-3.5136,5.3645,True,True,True,False
s060,15,20.4209,2.7827,17.6139,-3.5136,5.3645,True,True,True,False
s060,16,-8.1182,28.5391,12.4675,-3.5136,5.3645,False,False,False,False
s060,17,-5.5327,2.5855,8.86744,-3.5136,5.3645,False,False,False,False
s060,18,0.4836,6.0163,7.19068,-3.5136,5.3645,False,False,False,False
s060,19,22.4736,21.99,10.2473,-3.5136,5.3645,True,False,False,False
s060,20,3.97,18.5036,8.99181,-3.5136,5.3645,False,False,False,False
s060,21,0.12,3.85,7.21745,-3.5136,5.3645,False,False,False,False
s060,22,-3.6564,3.7764,5.04268,-3.5136,5.3645,False,False,False,False
s060,23,18.3936,22.05,7.71286,-3.5136,5.3645,True,False,False,False
s060,24,15.3536,3.04,9.24101,-3.5136,5.3645,True,True,False,False
s060,25,2.9964,12.3572,7.99209,-3.5136,5.3645,False,False,False,False
s060,26,-6.9155,9.9119,5.01057,-3.5136,5.3645,False,False,False,False
s060,27,17.3873,24.3028,7.48592,-3.5136,5.3645,True,False,False,False
s060,28,13.1136,4.2737,8.61145,-3.5136,5.3645,False,True,False,False
s060,29,14.7073,1.5937,9.83062,-3.5136,5.3645,True,True,False,False
s060,30,29.5109,14.8036,13.7667,-3.5136,5.3645,True,True,True,False
s060,31,13.1482,16.3627,13.643,-3.5136,5.3645,False,True,True,False
s060,32,-3.3864,16.5346,10.2371,-3.5136,5.3645,False,False,False,False
s060,33,4.4036,7.79,9.0704,-3.5136,5.3645,False,False,False,False
s060,34,17.5473,13.1437,10.7658,-3.5136,5.3645,True,False,False,False
s060,35,-10.1245,27.6718,6.58773,-3.5136,5.3645,False,False,False,False
s060,36,13.9782,24.1027,8.06582,-3.5136,5.3645,False,True,False,False
s060,37,13.4891,0.4891,9.15048,-3.5136,5.3645,False,True,False,False
s060,38,24.9027,11.4136,12.3009,-3.5136,5.3645,True,True,True,False
s060,39,23.4736,1.4291,14.5355,-3.5136,5.3645,True,True,True,False
s060,40,15.1509,8.3227,14.6585,-3.5136,5.3645,True,True,True,False
s060,41,-2.6636,17.8145,11.1941,-3.5136,5.3645,False,False,False,False
s060,42,-2.4636,0.2,8.46257,-3.5136,5.3645,False,False,False,False
s060,43,19.3136,21.7772,10.6328,-3.5136,5.3645,True,False,False,False
s060,44,8.3045,11.0091,10.1671,-3.5136,5.3645,False,False,False,False
s060,45,5.03,3.2745,9.1397,-3.5136,5.3645,False,False,False,False
s060,46,12.0945,7.0645,9.73066,-3.5136,5.3645,False,False,False,False
s060,47,23.1373,11.0428,12.412,-3.5136,5.3645,True,True,True,False
s060,48,25.0382,1.9009,14.9372,-3.5136,5.3645,True,True,True,False
s060,49,23.3109,1.7273,16.612,-3.5136,5.3645,True,True,True,False
s060,50,23.9555,0.6446,18.0807,-3.5136,5.3645,True,True,True,True
s060,51,21.39,2.5655,18.7425,-3.5136,5.3645,True,True,True,True
s060,52,1.5882,19.8018,15.3117,-3.5136,5.3645,False,False,False,True
s060,53,0.6782,0.91,12.385,-3.5136,5.3645,False,False,False,False
s060,54,20.0455,19.3673,13.9171,-3.5136,5.3645,True,False,False,False
s060,55,21.8964,1.8509,15.5129,-3.5136,5.3645,True,True,False,False
s060,56,22.8809,0.9845,16.9865,-3.5136,5.3645,True,True,False,False
s060,57,2.5209,20.36,14.0934,-3.5136,5.3645,False,False,False,False
s060,58,15.9527,13.4318,14.4653,-3.5136,5.3645,True,True,True,False
s060,59,-1.6545,17.6072,11.2413,-3.5136,5.3645,False,False,False,False
s060,60,6.7391,8.3936,10.3409,-3.5136,5.3645,False,False,False,False
s060,61,13.8118,7.0727,11.0351,-3.5136,5.3645,False,False,False,False
