rate,n,x,feature,lcl,ucl,p0
0.2,50,49,f_miss_clq14,0.297541,0.721726,0.509633
0.16,50,99,f_miss_clq14,0.297541,0.721726,0.509633
0.54,50,149,f_miss_clq14,0.297541,0.721726,0.509633
0.14,50,199,f_miss_clq14,0.297541,0.721726,0.509633
0.16,50,249,f_miss_clq14,0.297541,0.721726,0.509633
0.08,50,299,f_miss_clq14,0.297541,0.721726,0.509633
0.12,50,349,f_miss_clq14,0.297541,0.721726,0.509633
0.1,50,399,f_miss_clq14,0.297541,0.721726,0.509633
0.18,50,449,f_miss_clq14,0.297541,0.721726,0.509633
0.4,50,499,f_miss_clq14,0.297541,0.721726,0.509633
0.68,50,549,f_miss_clq14,0.297541,0.721726,0.509633
0.8,50,599,f_miss_clq14,0.297541,0.721726,0.509633
0.72,50,649,f_miss_clq14,0.297541,0.721726,0.509633
0.62,50,699,f_miss_clq14,0.297541,0.721726,0.509633
0.58,50,749,f_miss_clq14,0.297541,0.721726,0.509633
0.6,50,799,f_miss_clq14,0.297541,0.721726,0.509633
0.46,50,849,f_miss_clq14,0.297541,0.721726,0.509633
0.62,50,899,f_miss_clq14,0.297541,0.721726,0.509633
0.7,50,949,f_miss_clq14,0.297541,0.721726,0.509633
0.62,50,999,f_miss_clq14,0.297541,0.721726,0.509633
0.62,50,1049,f_miss_clq14,0.297541,0.721726,0.509633
0.72,50,1099,f_miss_clq14,0.297541,0.721726,0.509633
0.72,50,1149,f_miss_clq14,0.297541,0.721726,0.509633
0.54,50,1199,f_miss_clq14,0.297541,0.721726,0.509633
0.38,50,1249,f_miss_clq14,0.297541,0.721726,0.509633
0.42,50,1299,f_miss_clq14,0.297541,0.721726,0.509633
0.64,50,1349,f_miss_clq14,0.297541,0.721726,0.509633
0.7,50,1399,f_miss_clq14,0.297541,0.721726,0.509633
0.72,50,1449,f_miss_clq14,0.297541,0.721726,0.509633
0.72,50,1499,f_miss_clq14,0.297541,0.721726,0.509633
0.92,50,1549,f_miss_clq14,0.297541,0.721726,0.509633
0.66,50,1599,f_miss_clq14,0.297541,0.721726,0.509633
0.66,50,1649,f_miss_clq14,0.297541,0.721726,0.509633
0.58,50,1699,f_miss_clq14,0.297541,0.721726,0.509633
0.42,50,1749,f_miss_clq14,0.297541,0.721726,0.509633
0.72,50,1799,f_miss_clq14,0.297541,0.721726,0.509633
0.72,50,1849,f_miss_clq14,0.297541,0.721726,0.509633
0.764706,17,1866,f_miss_clq14,0.145897,0.873369,0.509633
0.36,50,49,f_miss_clq23,0.249064,0.672005,0.460534
0.2,50,99,f_miss_clq23,0.249064,0.672005,0.460534
0.08,50,149,f_miss_clq23,0.249064,0.672005,0.460534
0.38,50,199,f_miss_clq23,0.249064,0.672005,0.460534
0.22,50,249,f_miss_clq23,0.249064,0.672005,0.460534
0.08,50,299,f_miss_clq23,0.249064,0.672005,0.460534
0.24,50,349,f_miss_clq23,0.249064,0.672005,0.460534
0.4,50,399,f_miss_clq23,0.249064,0.672005,0.460534
0.2,50,449,f_miss_clq23,0.249064,0.672005,0.460534
0.02,50,499,f_miss_clq23,0.249064,0.672005,0.460534
0,50,549,f_miss_clq23,0.249064,0.672005,0.460534
0.06,50,599,f_miss_clq23,0.249064,0.672005,0.460534
0.38,50,649,f_miss_clq23,0.249064,0.672005,0.460534
0.36,50,699,f_miss_clq23,0.249064,0.672005,0.460534
0.4,50,749,f_miss_clq23,0.249064,0.672005,0.460534
0.58,50,799,f_miss_clq23,0.249064,0.672005,0.460534
0.2,50,849,f_miss_clq23,0.249064,0.672005,0.460534
0.24,50,899,f_miss_clq23,0.249064,0.672005,0.460534
0.3,50,949,f_miss_clq23,0.249064,0.672005,0.460534
0.44,50,999,f_miss_clq23,0.249064,0.672005,0.460534
0.8,50,1049,f_miss_clq23,0.249064,0.672005,0.460534
0.78,50,1099,f_miss_clq23,0.249064,0.672005,0.460534
0.64,50,1149,f_miss_clq23,0.249064,0.672005,0.460534
0.42,50,1199,f_miss_clq23,0.249064,0.672005,0.460534
0.62,50,1249,f_miss_clq23,0.249064,0.672005,0.460534
0.9,50,1299,f_miss_clq23,0.249064,0.672005,0.460534
0.88,50,1349,f_miss_clq23,0.249064,0.672005,0.460534
0.92,50,1399,f_miss_clq23,0.249064,0.672005,0.460534
0.98,50,1449,f_miss_clq23,0.249064,0.672005,0.460534
0.94,50,1499,f_miss_clq23,0.249064,0.672005,0.460534
0.94,50,1549,f_miss_clq23,0.249064,0.672005,0.460534
0.74,50,1599,f_miss_clq23,0.249064,0.672005,0.460534
0.52,50,1649,f_miss_clq23,0.249064,0.672005,0.460534
0.42,50,1699,f_miss_clq23,0.249064,0.672005,0.460534
0.44,50,1749,f_miss_clq23,0.249064,0.672005,0.460534
0.38,50,1799,f_miss_clq23,0.249064,0.672005,0.460534
0.54,50,1849,f_miss_clq23,0.249064,0.672005,0.460534
0.647059,17,1866,f_miss_clq23,0.0978661,0.823203,0.460534
0.58,50,49,f_miss_block5,0.505357,0.89427,0.699814
0.5,50,99,f_miss_block5,0.505357,0.89427,0.699814
0.64,50,149,f_miss_block5,0.505357,0.89427,0.699814
0.6,50,199,f_miss_block5,0.505357,0.89427,0.699814
0.72,50,249,f_miss_block5,0.505357,0.89427,0.699814
0.8,50,299,f_miss_block5,0.505357,0.89427,0.699814
0.82,50,349,f_miss_block5,0.505357,0.89427,0.699814
0.74,50,399,f_miss_block5,0.505357,0.89427,0.699814
0.86,50,449,f_miss_block5,0.505357,0.89427,0.699814
0.92,50,499,f_miss_block5,0.505357,0.89427,0.699814
0.86,50,549,f_miss_block5,0.505357,0.89427,0.699814
0.9,50,599,f_miss_block5,0.505357,0.89427,0.699814
0.92,50,649,f_miss_block5,0.505357,0.89427,0.699814
0.92,50,699,f_miss_block5,0.505357,0.89427,0.699814
0.84,50,749,f_miss_block5,0.505357,0.89427,0.699814
0.84,50,799,f_miss_block5,0.505357,0.89427,0.699814
0.8,50,849,f_miss_block5,0.505357,0.89427,0.699814
0.8,50,899,f_miss_block5,0.505357,0.89427,0.699814
0.76,50,949,f_miss_block5,0.505357,0.89427,0.699814
0.66,50,999,f_miss_block5,0.505357,0.89427,0.699814
0.68,50,1049,f_miss_block5,0.505357,0.89427,0.699814
0.68,50,1099,f_miss_block5,0.505357,0.89427,0.699814
0.54,50,1149,f_miss_block5,0.505357,0.89427,0.699814
0.72,50,1199,f_miss_block5,0.505357,0.89427,0.699814
0.5,50,1249,f_miss_block5,0.505357,0.89427,0.699814
0.76,50,1299,f_miss_block5,0.505357,0.89427,0.699814
0.68,50,1349,f_miss_block5,0.505357,0.89427,0.699814
0.68,50,1399,f_miss_block5,0.505357,0.89427,0.699814
0.54,50,1449,f_miss_block5,0.505357,0.89427,0.699814
0.38,50,1499,f_miss_block5,0.505357,0.89427,0.699814
0.22,50,1549,f_miss_block5,0.505357,0.89427,0.699814
0.5,50,1599,f_miss_block5,0.505357,0.89427,0.699814
0.72,50,1649,f_miss_block5,0.505357,0.89427,0.699814
0.62,50,1699,f_miss_block5,0.505357,0.89427,0.699814
0.64,50,1749,f_miss_block5,0.505357,0.89427,0.699814
0.7,50,1799,f_miss_block5,0.505357,0.89427,0.699814
0.72,50,1849,f_miss_block5,0.505357,0.89427,0.699814
0.764706,17,1866,f_miss_block5,0.366323,1.0333,0.699814
