feature,t,value,center,ucl
f_row_missing_rate,0,0.0745763,0.040678,0.100987
f_row_missing_rate,1,0.0610169,0.040678,0.100987
f_row_missing_rate,2,0.0338983,0.040678,0.100987
f_row_missing_rate,3,0.0338983,0.040678,0.100987
f_row_missing_rate,4,0.0677966,0.040678,0.100987
f_row_missing_rate,5,0.040678,0.040678,0.100987
f_row_missing_rate,6,0.0677966,0.040678,0.100987
f_row_missing_rate,7,0.040678,0.040678,0.100987
f_row_missing_rate,8,0.040678,0.040678,0.100987
f_row_missing_rate,9,0.040678,0.040678,0.100987
f_row_missing_rate,10,0.0338983,0.040678,0.100987
f_row_missing_rate,11,0.040678,0.040678,0.100987
f_row_missing_rate,12,0.0474576,0.040678,0.100987
f_row_missing_rate,13,0.0542373,0.040678,0.100987
f_row_missing_rate,14,0.0474576,0.040678,0.100987
f_row_missing_rate,15,0.0474576,0.040678,0.100987
f_row_missing_rate,16,0.040678,0.040678,0.100987
f_row_missing_rate,17,0.0677966,0.040678,0.100987
f_row_missing_rate,18,0.0474576,0.040678,0.100987
f_row_missing_rate,19,0.0474576,0.040678,0.100987
f_row_missing_rate,20,0.0813559,0.040678,0.100987
f_row_missing_rate,21,0.0474576,0.040678,0.100987
f_row_missing_rate,22,0.040678,0.040678,0.100987
f_row_missing_rate,23,0.0474576,0.040678,0.100987
f_row_missing_rate,24,0.0474576,0.040678,0.100987
f_row_missing_rate,25,0.0474576,0.040678,0.100987
f_row_missing_rate,26,0.0745763,0.040678,0.100987
f_row_missing_rate,27,0.0338983,0.040678,0.100987
f_row_missing_rate,28,0.0338983,0.040678,0.100987
f_row_missing_rate,29,0.0338983,0.040678,0.100987
f_row_missing_rate,30,0.0474576,0.040678,0.100987
f_row_missing_rate,31,0.0338983,0.040678,0.100987
f_row_missing_rate,32,0.0474576,0.040678,0.100987
f_row_missing_rate,33,0.059322,0.040678,0.100987
f_row_missing_rate,34,0.0338983,0.040678,0.100987
f_row_missing_rate,35,0.0474576,0.040678,0.100987
f_row_missing_rate,36,0.0474576,0.040678,0.100987
f_row_missing_rate,37,0.0338983,0.040678,0.100987
f_row_missing_rate,38,0.0474576,0.040678,0.100987
f_row_missing_rate,39,0.0542373,0.040678,0.100987
f_row_missing_rate,40,0.0338983,0.040678,0.100987
f_row_missing_rate,41,0.0542373,0.040678,0.100987
f_row_missing_rate,42,0.040678,0.040678,0.100987
f_row_missing_rate,43,0.0474576,0.040678,0.100987
f_row_missing_rate,44,0.0474576,0.040678,0.100987
f_row_missing_rate,45,0.0338983,0.040678,0.100987
f_row_missing_rate,46,0.0474576,0.040678,0.100987
f_row_missing_rate,47,0.0474576,0.040678,0.100987
f_row_missing_rate,48,0.0338983,0.040678,0.100987
f_row_missing_rate,49,0.0474576,0.040678,0.100987
f_row_missing_rate,50,0.0745763,0.040678,0.100987
f_row_missing_rate,51,0.0338983,0.040678,0.100987
f_row_missing_rate,52,0.0474576,0.040678,0.100987
f_row_missing_rate,53,0.079661,0.040678,0.100987
f_row_missing_rate,54,0.0338983,0.040678,0.100987
f_row_missing_rate,55,0.0474576,0.040678,0.100987
f_row_missing_rate,56,0.0338983,0.040678,0.100987
