,mean_abs_shap
59,0.578716
519,0.1737086
21,0.1507749
33,0.13237394
460,0.12591557
0,0.106185354
469,0.10330446
65,0.09439675
129,0.0774135
431,0.049781356
64,0.04969446
79,0.048935134
28,0.037447345
437,0.036938656
298,0.028008575
200,0.02712148
337,0.027018417
26,0.0250128
300,0.024826895
471,0.024622358
301,0.023345562
294,0.02157645
436,0.020502167
103,0.019372338
125,0.015680451
348,0.014142512
78,0.013256583
475,0.012624521
316,0.011155586
127,0.008952207
510,0.007975985
22,0.006737859
miss_clq14,0.006241314
557,0.0035869465
210,0.0023370774
295,0.0
387,0.0
miss_clq23,0.0
