column_name,role,status,col_index,missing_pct,derived_from,notes
wafer_id,key,active,0.0,0.0,,row order in raw file is chronological
target,target,active,,0.0,,raw -1/1; encode downstream
timestamp,metadata,active,,0.0,,
s001,feature_raw,active,1.0,0.0038289725590299937,,
s002,feature_raw,active,2.0,0.004467134652201659,,
s003,feature_raw,active,3.0,0.008934269304403318,,
s004,feature_raw,active,4.0,0.008934269304403318,,
s005,feature_raw,excluded,5.0,0.008934269304403318,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s006,feature_raw,excluded,6.0,0.008934269304403318,,constant: n_unique == 1
s007,feature_raw,active,7.0,0.008934269304403318,,
s008,feature_raw,active,8.0,0.00574345883854499,,
s009,feature_raw,active,9.0,0.0012763241863433313,,
s010,feature_raw,active,10.0,0.0012763241863433313,,
s011,feature_raw,active,11.0,0.0012763241863433313,,
s012,feature_raw,active,12.0,0.0012763241863433313,,
s013,feature_raw,active,13.0,0.0012763241863433313,,
s014,feature_raw,excluded,14.0,0.0019144862795149968,,constant: n_unique == 1
s015,feature_raw,active,15.0,0.0019144862795149968,,
s016,feature_raw,active,16.0,0.0019144862795149968,,
s017,feature_raw,excluded,17.0,0.0019144862795149968,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s018,feature_raw,active,18.0,0.0019144862795149968,,
s019,feature_raw,active,19.0,0.0019144862795149968,,
s020,feature_raw,active,20.0,0.006381620931716656,,
s021,feature_raw,active,21.0,0.0,,
s022,feature_raw,active,22.0,0.0012763241863433313,,
s023,feature_raw,active,23.0,0.0012763241863433313,,
s024,feature_raw,active,24.0,0.0012763241863433313,,
s025,feature_raw,active,25.0,0.0012763241863433313,,
s026,feature_raw,excluded,26.0,0.0012763241863433313,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s027,feature_raw,active,27.0,0.0012763241863433313,,
s028,feature_raw,active,28.0,0.0012763241863433313,,
s029,feature_raw,active,29.0,0.0012763241863433313,,
s030,feature_raw,active,30.0,0.0012763241863433313,,
s031,feature_raw,active,31.0,0.0012763241863433313,,
s032,feature_raw,active,32.0,0.0012763241863433313,,
s033,feature_raw,active,33.0,0.0006381620931716656,,
s034,feature_raw,active,34.0,0.0006381620931716656,,
s035,feature_raw,excluded,35.0,0.0006381620931716656,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s036,feature_raw,active,36.0,0.0006381620931716656,,
s037,feature_raw,active,37.0,0.0006381620931716656,,
s038,feature_raw,excluded,38.0,0.0006381620931716656,,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
s039,feature_raw,excluded,39.0,0.0006381620931716656,,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
s040,feature_raw,active,40.0,0.0006381620931716656,,
s041,feature_raw,active,41.0,0.015315890236119975,,
s042,feature_raw,active,42.0,0.015315890236119975,,
s043,feature_raw,excluded,43.0,0.0006381620931716656,,constant: n_unique == 1
s044,feature_raw,active,44.0,0.0006381620931716656,,
s045,feature_raw,active,45.0,0.0006381620931716656,,
s046,feature_raw,active,46.0,0.0006381620931716656,,
s047,feature_raw,active,47.0,0.0006381620931716656,,
s048,feature_raw,active,48.0,0.0006381620931716656,,
s049,feature_raw,active,49.0,0.0006381620931716656,,
s050,feature_raw,excluded,50.0,0.0006381620931716656,,constant: n_unique == 1
s051,feature_raw,active,51.0,0.0006381620931716656,,
s052,feature_raw,active,52.0,0.0006381620931716656,,
s053,feature_raw,excluded,53.0,0.0006381620931716656,,constant: n_unique == 1
s054,feature_raw,active,54.0,0.0025526483726866626,,
s055,feature_raw,active,55.0,0.0025526483726866626,,
s056,feature_raw,excluded,56.0,0.0025526483726866626,,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
s057,feature_raw,excluded,57.0,0.0025526483726866626,,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
s058,feature_raw,excluded,58.0,0.0025526483726866626,,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
s059,feature_raw,active,59.0,0.0025526483726866626,,
s060,feature_raw,active,60.0,0.004467134652201659,,
s061,feature_raw,active,61.0,0.0038289725590299937,,
s062,feature_raw,active,62.0,0.0038289725590299937,,
s063,feature_raw,active,63.0,0.0038289725590299937,,
s064,feature_raw,active,64.0,0.004467134652201659,,
s065,feature_raw,active,65.0,0.004467134652201659,,
s066,feature_raw,active,66.0,0.004467134652201659,,
s067,feature_raw,active,67.0,0.0038289725590299937,,
s068,feature_raw,active,68.0,0.0038289725590299937,,
s069,feature_raw,active,69.0,0.0038289725590299937,,
s070,feature_raw,excluded,70.0,0.0038289725590299937,,constant: n_unique == 1
s071,feature_raw,active,71.0,0.0038289725590299937,,
s072,feature_raw,active,72.0,0.0038289725590299937,,
s073,feature_raw,excluded,73.0,0.5067007019783025,,missing: NaN fraction > 0.5
s074,feature_raw,excluded,74.0,0.5067007019783025,,missing: NaN fraction > 0.5
s075,feature_raw,excluded,75.0,0.0038289725590299937,,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
s076,feature_raw,active,76.0,0.015315890236119975,,
s077,feature_raw,active,77.0,0.015315890236119975,,
s078,feature_raw,active,78.0,0.015315890236119975,,
s079,feature_raw,active,79.0,0.015315890236119975,,
s080,feature_raw,active,80.0,0.015315890236119975,,
s081,feature_raw,active,81.0,0.015315890236119975,,
s082,feature_raw,active,82.0,0.015315890236119975,,
s083,feature_raw,active,83.0,0.015315890236119975,,
s084,feature_raw,active,84.0,0.0006381620931716656,,
s085,feature_raw,active,85.0,0.007657945118059987,,
s086,feature_raw,excluded,86.0,0.8557753669432036,,missing: NaN fraction > 0.5
s087,feature_raw,active,87.0,0.0,,
s088,feature_raw,active,88.0,0.0,,
s089,feature_raw,active,89.0,0.0,,
s090,feature_raw,active,90.0,0.03254626675175495,,
s091,feature_raw,active,91.0,0.03254626675175495,,
s092,feature_raw,active,92.0,0.0038289725590299937,,
s093,feature_raw,active,93.0,0.0012763241863433313,,
s094,feature_raw,active,94.0,0.0012763241863433313,,
s095,feature_raw,excluded,95.0,0.0038289725590299937,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s096,feature_raw,active,96.0,0.0038289725590299937,,
s097,feature_raw,active,97.0,0.0038289725590299937,,
s098,feature_raw,excluded,98.0,0.0038289725590299937,,constant: n_unique == 1
s099,feature_raw,active,99.0,0.0038289725590299937,,
s100,feature_raw,excluded,100.0,0.0038289725590299937,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s101,feature_raw,active,101.0,0.0038289725590299937,,
s102,feature_raw,active,102.0,0.0038289725590299937,,
s103,feature_raw,active,103.0,0.0038289725590299937,,
s104,feature_raw,active,104.0,0.0012763241863433313,,
s105,feature_raw,active,105.0,0.0012763241863433313,,
s106,feature_raw,excluded,106.0,0.0038289725590299937,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s107,feature_raw,excluded,107.0,0.0038289725590299937,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s108,feature_raw,active,108.0,0.0038289725590299937,,
s109,feature_raw,active,109.0,0.0038289725590299937,,
s110,feature_raw,excluded,110.0,0.6496490108487556,,missing: NaN fraction > 0.5
s111,feature_raw,excluded,111.0,0.6496490108487556,,missing: NaN fraction > 0.5
s112,feature_raw,excluded,112.0,0.6496490108487556,,missing: NaN fraction > 0.5
s113,feature_raw,active,113.0,0.4562858966177409,,
s114,feature_raw,active,114.0,0.0,,
s115,feature_raw,excluded,115.0,0.0,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s116,feature_raw,active,116.0,0.0,,
s117,feature_raw,excluded,117.0,0.0,,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
s118,feature_raw,excluded,118.0,0.0,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s119,feature_raw,active,119.0,0.015315890236119975,,
s120,feature_raw,excluded,120.0,0.0,,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
s121,feature_raw,active,121.0,0.0,,
s122,feature_raw,excluded,122.0,0.00574345883854499,,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
s123,feature_raw,excluded,123.0,0.00574345883854499,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s124,feature_raw,excluded,124.0,0.00574345883854499,,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
s125,feature_raw,excluded,125.0,0.00574345883854499,,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
s126,feature_raw,active,126.0,0.00574345883854499,,
s127,feature_raw,active,127.0,0.00574345883854499,,
s128,feature_raw,active,128.0,0.00574345883854499,,
s129,feature_raw,active,129.0,0.00574345883854499,,
s130,feature_raw,active,130.0,0.00574345883854499,,
s131,feature_raw,active,131.0,0.00574345883854499,,
s132,feature_raw,excluded,132.0,0.00574345883854499,,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
s133,feature_raw,active,133.0,0.005105296745373325,,
s134,feature_raw,excluded,134.0,0.005105296745373325,,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
s135,feature_raw,active,135.0,0.005105296745373325,,
s136,feature_raw,excluded,136.0,0.003190810465858328,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s137,feature_raw,excluded,137.0,0.0038289725590299937,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s138,feature_raw,excluded,138.0,0.004467134652201659,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s139,feature_raw,excluded,139.0,0.008934269304403318,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s140,feature_raw,excluded,140.0,0.008934269304403318,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s141,feature_raw,excluded,141.0,0.008934269304403318,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s142,feature_raw,excluded,142.0,0.008934269304403318,,constant: n_unique == 1
s143,feature_raw,excluded,143.0,0.008934269304403318,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s144,feature_raw,excluded,144.0,0.00574345883854499,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s145,feature_raw,excluded,145.0,0.0012763241863433313,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s146,feature_raw,excluded,146.0,0.0012763241863433313,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s147,feature_raw,excluded,147.0,0.0012763241863433313,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s148,feature_raw,excluded,148.0,0.0012763241863433313,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s149,feature_raw,excluded,149.0,0.0012763241863433313,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s150,feature_raw,excluded,150.0,0.0019144862795149968,,constant: n_unique == 1
s151,feature_raw,excluded,151.0,0.0019144862795149968,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s152,feature_raw,excluded,152.0,0.0019144862795149968,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s153,feature_raw,excluded,153.0,0.0019144862795149968,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s154,feature_raw,excluded,154.0,0.0019144862795149968,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s155,feature_raw,excluded,155.0,0.0019144862795149968,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s156,feature_raw,excluded,156.0,0.006381620931716656,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s157,feature_raw,excluded,157.0,0.0,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s158,feature_raw,excluded,158.0,0.9119336311423102,,missing: NaN fraction > 0.5
s159,feature_raw,excluded,159.0,0.9119336311423102,,missing: NaN fraction > 0.5
s160,feature_raw,excluded,160.0,0.0012763241863433313,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s161,feature_raw,excluded,161.0,0.0012763241863433313,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s162,feature_raw,excluded,162.0,0.0012763241863433313,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s163,feature_raw,excluded,163.0,0.0012763241863433313,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s164,feature_raw,excluded,164.0,0.0012763241863433313,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s165,feature_raw,excluded,165.0,0.0012763241863433313,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s166,feature_raw,excluded,166.0,0.0012763241863433313,,correlated: |r| > 0.95; dropped the more-missing member of the pair
s167,feature_raw,excluded,167.0,0.0012763241863433313,,correlated: |r| > 0.95; dropped the more-missing member of the pair
